year,agency,Rank,minus_2,minus_1,current,plus_1,slope
2013,AR,O10,0,1,12,1,1
2013,AR,O9,2,1,52,-4,0
2013,AR,O8,5,-7,113,0,1
2013,AR,O7,-2,9,142,-5,0
2013,AR,O6,-67,-6,4367,-109,0
2013,AR,O5,292,248,10233,-545,0
2013,AR,O4,199,-43,17362,-40,0
2013,AR,O3,-1913,-250,28081,1121,1
2013,AR,O2,4479,857,13861,-1139,0
2013,AR,O1,-1474,-432,8693,-369,0
2013,AR,W5,39,12,659,-3,0
2013,AR,W4,-220,-150,2372,-139,0
2013,AR,W3,345,24,3896,133,1
2013,AR,W2,41,91,6735,-167,0
2013,AR,W1,-332,-144,2056,-72,0
2013,AR,E9,101,94,3765,-171,0
2013,AR,E8,36,-26,12266,-302,0
2013,AR,E7,-101,-493,40382,-1048,0
2013,AR,E6,-2592,-1729,61840,-1365,0
2013,AR,E5,-4650,-4482,78627,-4235,0
2013,AR,E4,-18740,-14718,128372,-9966,0
2013,AR,E3,-14449,-5092,57180,-4084,0
2013,AR,E2,-2638,1017,26193,593,1
2013,AR,E1,8351,7278,20298,-1826,0
