year,agency,Rank,minus_2,minus_1,current,plus_1
2013,AF,O10,-1,-2,12,-1
2013,AF,O9,-1,1,45,-1
2013,AF,O8,1,2,101,-5
2013,AF,O7,-11,0,147,-9
2013,AF,O6,46,21,3601,-283
2013,AF,O5,100,-23,10016,-554
2013,AF,O4,-479,-506,14042,-458
2013,AF,O3,-479,578,22743,-769
2013,AF,O2,-26,-278,7193,0
2013,AF,O1,170,-7,6898,-369
2013,AF,W5,0,0,0,0
2013,AF,W4,0,0,0,0
2013,AF,W3,0,0,0,0
2013,AF,W2,0,0,0,0
2013,AF,W1,0,0,0,0
2013,AF,E9,-31,-47,2585,-77
2013,AF,E8,-12,89,5136,0
2013,AF,E7,998,305,26741,-1342
2013,AF,E6,-372,-536,41231,-2649
2013,AF,E5,-2485,-58,67668,-4086
2013,AF,E4,4396,277,55786,1616
2013,AF,E3,-629,446,51276,-4961
2013,AF,E2,-1305,-779,3487,486
2013,AF,E1,-2128,-1721,7865,-658
