year,agency,Rank,minus_2,minus_1,current,plus_1
2017,AR,O10,0,-1,11,4
2017,AR,O9,-1,3,47,-3
2017,AR,O8,-3,-5,120,-2
2017,AR,O7,-3,0,131,10
2017,AR,O6,-43,-32,4107,-117
2017,AR,O5,-493,-241,8756,37
2017,AR,O4,-1650,-728,14850,227
2017,AR,O3,217,472,29281,-860
2017,AR,O2,-1151,-330,11010,249
2017,AR,O1,1003,749,9135,746
2017,AR,W5,-66,-38,553,36
2017,AR,W4,-20,128,2085,-15
2017,AR,W3,-110,-93,4078,-129
2017,AR,W2,-797,-439,5458,-158
2017,AR,W1,303,222,2174,178
2017,AR,E9,-111,-49,3330,178
2017,AR,E8,-649,-31,10747,-167
2017,AR,E7,-2727,-1131,34081,1688
2017,AR,E6,-3758,-151,54038,150
2017,AR,E5,-4487,720,65581,-37
2017,AR,E4,-8088,-3279,111230,-4764
2017,AR,E3,799,-275,47014,3474
2017,AR,E2,1937,2474,29173,-1682
2017,AR,E1,4625,2812,24674,897
