year,agency,Rank,minus_2,minus_1,current,plus_1
2015,NV,O10,1,0,14,0
2015,NV,O9,-9,-1,52,1
2015,NV,O8,-8,-5,90,1
2015,NV,O7,-6,-8,141,-5
2015,NV,O6,-116,-144,3871,-77
2015,NV,O5,-39,-182,8600,-103
2015,NV,O4,-358,-325,14393,85
2015,NV,O3,205,-18,25013,-441
2015,NV,O2,-185,-54,9894,168
2015,NV,O1,205,282,9068,587
2015,NV,W5,7,-2,178,0
2015,NV,W4,2,-27,677,-3
2015,NV,W3,4,-4,1236,-59
2015,NV,W2,31,55,1439,57
2015,NV,W1,21,-67,188,-7
2015,NV,E9,-34,-25,4111,-26
2015,NV,E8,75,-64,10132,60
2015,NV,E7,-320,-389,28954,778
2015,NV,E6,-700,-518,60136,406
2015,NV,E5,1144,199,89594,446
2015,NV,E4,2349,2701,95594,-7399
2015,NV,E3,-455,-3764,87307,5314
2015,NV,E2,-5612,-368,34751,-475
2015,NV,E1,-5137,-11,21318,-2457
