Year,service,Rank,minus_2,minus_1,current,plus_1
2017,NV,O10,-1,-1,13,-1
2017,NV,O9,7,6,59,0
2017,NV,O8,0,-1,90,-2
2017,NV,O7,-7,-2,134,14
2017,NV,O6,-69,8,3802,-34
2017,NV,O5,-79,24,8521,48
2017,NV,O4,95,10,14488,-13
2017,NV,O3,-424,17,24589,259
2017,NV,O2,87,-81,9981,15
2017,NV,O1,1080,493,10148,73
2017,NV,W5,8,8,186,8
2017,NV,W4,-6,-3,671,20
2017,NV,W3,13,72,1249,27
2017,NV,W2,-22,-79,1417,20
2017,NV,W1,43,50,231,56
2017,NV,E9,44,70,4155,66
2017,NV,E8,247,187,10379,161
2017,NV,E7,597,-181,29551,378
2017,NV,E6,933,527,61069,2313
2017,NV,E5,1181,735,90775,3123
2017,NV,E4,-8193,-794,87401,190
2017,NV,E3,900,-4414,88207,-2908
2017,NV,E2,-452,23,34299,1978
2017,NV,E1,1160,3617,22478,1126
