year,agency,Rank,minus_2,minus_1,current,plus_1,slope
2011,AR,O10,1,0,12,-1,0
2011,AR,O9,-2,1,50,1,1
2011,AR,O8,10,8,108,12,1
2011,AR,O7,-24,-13,144,-11,0
2011,AR,O6,75,78,4434,-61,0
2011,AR,O5,279,290,9941,44,1
2011,AR,O4,1326,431,17163,242,1
2011,AR,O3,2967,1244,29994,-1663,0
2011,AR,O2,1177,1107,9382,3622,1
2011,AR,O1,-33,-339,10167,-1042,0
2011,AR,W5,69,21,620,27,1
2011,AR,W4,153,107,2592,-70,0
2011,AR,W3,12,-132,3551,321,1
2011,AR,W2,1007,564,6694,-50,0
2011,AR,W1,-572,-255,2388,-188,0
2011,AR,E9,123,152,3664,7,1
2011,AR,E8,-1,20,12230,62,1
2011,AR,E7,-565,55,40483,392,1
2011,AR,E6,-1286,-1368,64432,-863,0
2011,AR,E5,-376,-2511,83277,-168,0
2011,AR,E4,12005,4392,147112,-4022,0
2011,AR,E3,4336,1805,71629,-9357,0
2011,AR,E2,-5518,-4080,28831,-3655,0
2011,AR,E1,-3333,-2108,11947,1073,1
