year,agency,Rank,minus_2,minus_1,current,plus_1
2014,AR,O10,2,1,13,-2
2014,AR,O9,-3,-4,48,0
2014,AR,O8,-7,0,113,10
2014,AR,O7,4,-5,137,-3
2014,AR,O6,-115,-109,4258,-108
2014,AR,O5,-297,-545,9688,-439
2014,AR,O4,-83,-40,17322,-822
2014,AR,O3,871,1121,29202,-138
2014,AR,O2,-282,-1139,12722,-561
2014,AR,O1,-801,-369,8324,-192
2014,AR,W5,9,-3,656,-37
2014,AR,W4,-289,-139,2233,-128
2014,AR,W3,157,133,4029,159
2014,AR,W2,-76,-167,6568,-313
2014,AR,W1,-216,-72,1984,-113
2014,AR,E9,-77,-171,3594,-153
2014,AR,E8,-328,-302,11964,-568
2014,AR,E7,-1541,-1048,39334,-2526
2014,AR,E6,-3094,-1365,60475,-2679
2014,AR,E5,-8717,-4235,74392,-4324
2014,AR,E4,-24684,-9966,118406,912
2014,AR,E3,-9176,-4084,53096,-6881
2014,AR,E2,1610,593,26786,450
2014,AR,E1,5452,-1826,18472,1577
