year,agency,Rank,minus_2,minus_1,current,plus_1
2011,NV,O10,2,2,17,-2
2011,NV,O9,-2,-4,58,2
2011,NV,O8,15,4,108,-6
2011,NV,O7,-6,-8,154,-5
2011,NV,O6,168,63,4239,-183
2011,NV,O5,242,135,9060,-368
2011,NV,O4,587,546,14636,-48
2011,NV,O3,974,474,23386,915
2011,NV,O2,844,332,10371,17
2011,NV,O1,-564,-605,9346,-304
2011,NV,W5,-3,9,160,10
2011,NV,W4,45,-26,739,-41
2011,NV,W3,6,22,1143,67
2011,NV,W2,25,38,1398,30
2011,NV,W1,3,21,258,-57
2011,NV,E9,-215,-67,4061,4
2011,NV,E8,-207,-10,9957,-131
2011,NV,E7,-1516,-280,29813,-513
2011,NV,E6,-675,-577,62264,-1920
2011,NV,E5,-5190,-3273,90420,-3986
2011,NV,E4,-1645,4415,91583,3108
2011,NV,E3,10517,-5711,100006,-7132
2011,NV,E2,-6995,-221,36092,-974
2011,NV,E1,-2552,135,21893,3509
